Tag,Description,Units
22V15CP1:TT22662.PNT,V-2215 Inlet Temp Range,deg_C
22DATAHCUCP4:TI22643A.PNT,V-2215 Bed 1 Temp Top,deg_C
22DATAHCUCP4:TI22744A.PNT,V-2215 Bed 1 Temp Middle,deg_C
22DATAHCUCP4:TI22745A.PNT,V-2215 Bed 1 Temp Bottom,deg_C
22V15CP1:TI22445B.PNT,V-2215 bed 2 top Temp,deg_C
22DATAHCUCP4:TI22748A.PNT,V-2215 bed 2 middle Temp,deg_C
22DATAHCUCP4:TI22749A.PNT,V-2215 bed 2 bottom Temp,deg_C
22V15CP1:PI22498.PNT,V-2215 Outlet Pressure,MPa
PI37810,GZ-3701-M1A,kPa
PI37820,GZ-3701-M1B,kPa
PI37830,GZ-3701-M1C,kPa
PI37840,GZ-3701-M1D,kPa
PI37850,GZ-3701-M1E,kPa
